aphiaID,scientificName,n_events
157053,Mastogloia smithii,4
157440,Helicotheca tamesis,4
160617,Achnanthes brevipes var. brevipes,4
163161,Chaetoceros tortissimus,4
176158,Gomphonema olivaceum var. olivaceum,4
176420,Tryblionella levidensis,4
370367,Chaetoceros (Phaeoceros),4
410033,Stichogloea,4
549221,Thalassiosira conferta,4
573589,Rhizosolenia tenuijuncta,4
577885,Parapediastrum biradiatum,4
611643,Frustulia ventricosa,4
624976,Haptolina ericina,4
641230,Cryptomonas kielensis,4
671914,Synedra rumpens var. rumpens,4
675363,Desmodesmus armatus var. longispina,4
689514,Protoperidinium pyriforme subsp. breve,4
708521,Bicosoeca planctonica var. multiannulata,4
1322474,Ralfsiella minima,4
109532,Cachonina,3
109844,Gyrodinium calyptoglyphe,3
109890,Torodinium teredo,3
110139,Diplopsalopsis orbicularis,3
110228,Protoperidinium laticeps,3
110314,Prorocentrum scutellum,3
143996,Cladophora,3
146618,Woronichinia naegeliana,3
148991,Coscinodiscus commutatus,3
149111,Guinardia,3
149313,Fragilariopsis,3
149340,Grammatophora serpentina,3
149551,Cymbella aspera,3
157074,Rhabdonema adriaticum,3
157081,Thalassiothrix,3
160589,Oocystaceae,3
162518,Corymbellus,3
163209,Cyclotella meneghiniana f. plana,3
163648,Amphiprora paludosa var. subsalina,3
172292,Epithemia turgida var. turgida,3
172402,Fragilaria istvanffyi,3
172495,Ceratium tripos var. lineatum,3
172725,Navicula peregrina var. peregrina,3
177161,Microcrocis,3
177949,Caloneis amphisbaena var. subsalina,3
178126,Cerataulus radiatus,3
178477,Nodularia harveyana,3
232625,Podolampas palmipes,3
248164,Schroederia,3
341501,Proboscia inermis,3
547469,Gymnodinium venator,3
572043,Gyromitus cordiformis,3
576225,Coenochloris,3
577837,Franceia,3
603183,Acutodesmus,3
615467,Chrysochromulina birgeri,3
617005,Chloromonas angustissima,3
695320,Diatoma vulgaris var. vulgaris,3
707927,Vicicitus globosus,3
985254,Schizonema cruciger f. cruciger,3
1290546,Lindavia praetermissa,3
18608,Chaetophorales,2
106316,Rhodomonas salina,2
109396,Prorocentrales,2
109499,Kofoidinium,2
109504,Pentapharsodinium,2
109518,Amylax,2
109537,Diplopsalopsis,2
109559,Goniodoma,2
109843,Gyrodinium britannicum,2
110115,Oxytoxum scolopax,2
134542,Nephroselmis rotunda,2
149003,Cylindrotheca,2
149065,Rhaphoneis,2
149103,Thalassiosira leptopus,2
149109,Corethron,2
149147,Trachyneis aspera,2
149311,Rhizosolenia robusta,2
149364,Fragilaria construens,2
149387,Achnanthes brevipes,2
149614,Surirella striatula,2
157257,Dictyochaceae,2
157458,Fragilaria striatula,2
160538,Phaeocystis globosa,2
162529,Gymnodinium arcticum,2
162834,Tripodiscus argus,2
162930,Coscinodiscus bathyomphalus,2
163268,Conferva,2
163497,Coscinodiscus lacunosus,2
163816,Campylodiscus clypeus,2
